[0.009s] Invoking command in '/home/jeja/ros2_ws/build/sam_bot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jeja/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --build /home/jeja/ros2_ws/build/sam_bot_description -- -j16 -l16
[0.030s] Invoked command in '/home/jeja/ros2_ws/build/sam_bot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jeja/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --build /home/jeja/ros2_ws/build/sam_bot_description -- -j16 -l16
[0.047s] Invoking command in '/home/jeja/ros2_ws/build/sam_bot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jeja/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --install /home/jeja/ros2_ws/build/sam_bot_description
[0.051s] -- Install configuration: ""
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/ament_index/resource_index/package_run_dependencies/sam_bot_description
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/ament_index/resource_index/parent_prefix_path/sam_bot_description
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/environment/ament_prefix_path.sh
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/environment/ament_prefix_path.dsv
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/environment/path.sh
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/environment/path.dsv
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/local_setup.bash
[0.059s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/local_setup.sh
[0.060s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/local_setup.zsh
[0.060s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/local_setup.dsv
[0.060s] -- Symlinking: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/package.dsv
[0.065s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/ament_index/resource_index/packages/sam_bot_description
[0.065s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/cmake/sam_bot_descriptionConfig.cmake
[0.065s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/cmake/sam_bot_descriptionConfig-version.cmake
[0.065s] -- Up-to-date symlink: /home/jeja/ros2_ws/install/sam_bot_description/share/sam_bot_description/package.xml
[0.066s] Invoked command in '/home/jeja/ros2_ws/build/sam_bot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jeja/ros2_ws/install/ros2_controllers_test_nodes:/opt/ros/humble /usr/bin/cmake --install /home/jeja/ros2_ws/build/sam_bot_description
